交易日期,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,隔日漲跌價,隔日收盤,隔日漲跌,slowk,slowd,K-D,upperband,middleband,lowerband,band_width,BIAS20,BIAS60,BIAS5,OBV,macd,macdsignal,macdhist,RSI
2013-06-27,2013-07-01,7735,7746,7700,7713,75,0.0098,92515,115.0,7828.0,1,15.65280012257721,10.707220506923285,4.945579615653925,8393.485568296395,7963.45,7533.414431703604,860.0711365927909,-0.03144993689920823,-0.040747204822174025,0.008393473486037,-9821.0,-137.69861150325414,-96.84548901708781,-40.85312248616633,33.736258638560855
2013-06-28,2013-07-01,7755,7860,7729,7828,113,0.0146,121780,75.0,7903.0,1,31.877729257641946,18.636555228611154,13.241174029030791,8358.82285135719,7943.3,7527.77714864281,831.0457027143802,-0.014515377739730361,-0.026259158363498444,0.018899359608476052,111959.0,-126.04568213490438,-102.68552764065113,-23.36015449425325,42.67612208850308
2013-07-01,2013-07-01,7818,7916,7811,7903,75,0.0096,101184,3.0,7906.0,1,51.23726346433773,32.9225976148523,18.31466584948543,8318.76624584106,7926.35,7533.933754158941,784.8324916821184,-0.0029458704195500277,-0.01692567959796327,0.021402538320366062,213143.0,-109.49657015531557,-104.04773614358402,-5.448834011731549,47.63772022007534
2013-07-02,2013-07-01,7905,7920,7880,7906,3,0.0004,69586,-95.0,7811.0,0,73.51828067471534,52.21109113223168,21.307189542483663,8284.866195839724,7912.0,7539.133804160275,745.7323916794494,-0.0007583417593528817,-0.016495409648446292,0.013927719496242384,282729.0,-95.04360128064855,-102.24690917099693,7.203307890348384,47.832226219581436
2013-07-03,2013-07-01,7884,7894,7806,7811,-95,-0.012,99164,33.0,7844.0,1,78.11584895967124,67.62379769957478,10.49205126009646,8251.29364923593,7894.45,7537.60635076407,713.6872984718593,-0.010570717402732277,-0.028458419363665784,-0.0027067745971757384,183565.0,-90.21527978305312,-99.84058329340817,9.625303510355053,42.45420840818578
2013-07-04,2013-07-01,7839,7864,7802,7844,33,0.0042,90570,121.0,7965.0,1,80.49019607843141,77.37477523760602,3.1154208408253936,8217.60904777969,7879.4,7541.1909522203105,676.4180955593793,-0.004492727872680615,-0.02462680535435619,-0.0018324340832739027,274135.0,-82.77183382587009,-96.42683339990056,13.65499957403047,44.776930252838845
2013-07-05,2013-07-01,7885,7979,7871,7965,123,0.0157,109225,-135.0,7830.0,0,80.6931544547644,79.7663998309557,0.9267546238086908,8197.555379897027,7872.5,7547.444620102974,650.1107597940527,0.011749761829152112,-0.010067114093959731,0.010043369093814175,383360.0,-66.34438375883656,-90.41034347168775,24.065959712851196,52.368536511833256
2013-07-08,2013-07-01,7955,7964,7820,7830,-134,-0.0168,117123,94.0,7924.0,1,77.9560055411449,79.71311869144692,-1.7571131503020183,8169.746291496703,7859.65,7549.553708503297,620.1925829934062,-0.003772432614683814,-0.02686982675051575,-0.005234271775586927,266237.0,-63.48704386291229,-85.02568354993267,21.53863968702038,44.944754299184545
2013-07-09,2013-07-01,7830,7931,7823,7924,94,0.012,116183,37.0,7961.0,1,78.83589871705325,79.1616862376542,-0.3257875206009402,8131.301343702597,7848.5,7565.698656297403,565.6026874051931,0.009619672548894693,-0.015472798356636458,0.006247777721338932,382420.0,-53.026312675360714,-78.62580937501828,25.599496699657564,50.23479872026234
2013-07-10,2013-07-01,7938,8017,7921,7961,39,0.0049,133445,202.0,8163.0,1,73.52400787884663,76.77197071234828,-3.2479628335016457,8098.229270767774,7840.15,7582.070729232225,516.1585415355494,0.015414245900907555,-0.011281074703483641,0.007109604291063634,515865.0,-41.274727697360504,-71.15559303948672,29.880865342126214,52.18242969400032
2013-07-11,2013-07-01,8107,8166,8061,8163,204,0.0256,117871,13.0,8176.0,1,86.67270602754478,79.67753754114824,6.995168486396537,8143.537152851944,7851.65,7559.762847148056,583.7743057038879,0.039654085447008,0.01300329063709304,0.024395753331827377,633736.0,-15.483318068471817,-60.021138045283735,44.53781997681192,61.12706383697185
2013-07-12,2013-07-01,8164,8188,8138,8176,12,0.0015,64591,40.0,8216.0,1,92.20752381374147,84.13474590671098,8.072777907030499,8187.944961320898,7864.45,7540.955038679102,646.9899226417965,0.039614976253902076,0.013846980531558754,0.02062216008388673,698327.0,5.937111903658661,-46.829488055495254,52.766599959153915,61.62457738754452
2013-07-15,2013-07-01,8141,8238,8135,8216,33,0.004,110657,14.0,8230.0,1,97.0070481086786,91.96242598332162,5.04462212535698,8232.155002777326,7876.6,7521.044997222674,711.1100055546522,0.0430896579742528,0.01782893718061223,0.01582591493570722,808984.0,25.842723854432734,-32.295045673509655,58.13776952794239,63.18583250569698
2013-07-16,2013-07-01,8230,8233,8193,8230,14,0.0017,77162,12.0,8242.0,1,96.67015258829684,95.29490817023897,1.375244418057875,8273.217047439462,7888.4,7503.582952560536,769.6340948789266,0.043304092084579936,0.018961600128763023,0.009915083689196509,886146.0,42.26059391439048,-17.383917755929623,59.64451167032011,63.74183816828861
2013-07-17,2013-07-01,8209,8257,8202,8242,12,0.0015,49919,-146.0,8096.0,0,96.56225725862326,96.74648598519957,-0.18422872657630762,8310.86762665852,7899.55,7488.2323733414805,822.6352533170402,0.043350570602122884,0.019839142091152777,0.004460477246691248,936065.0,55.59926027003257,-2.787282150737184,58.38654242076976,64.24037254435866
2013-07-18,2013-08-01,8158,8169,8088,8096,-46,-0.0056,99742,-141.0,7955.0,0,85.96351269078163,93.06530751256724,-7.101794821785617,8330.587752145555,7916.95,7503.312247854445,827.2755042911103,0.022616032689356403,0.0014266041049915176,-0.01171875,836323.0,53.76944889317201,8.524064058044656,45.24538483512735,54.43385686235531
2013-07-19,2013-08-01,8059,8073,7953,7955,-145,-0.0179,130696,67.0,8022.0,1,63.3800490004816,81.96860631662882,-18.588557316147224,8328.14913901759,7931.8,7535.450860982409,792.6982780351818,0.0029249350714843814,-0.01594121624964952,-0.02366282922997621,705627.0,40.475215490865594,14.914294344608845,25.56092114625675,46.97570943149345
2013-07-22,2013-08-01,7974,8053,7970,8022,65,0.0082,85680,112.0,8134.0,1,41.210721696714934,63.518094462659384,-22.30737276594445,8324.182188415745,7951.4,7578.617811584254,745.5643768314912,0.008878939557813765,-0.007689928873312067,-0.01072881982981872,791307.0,34.94297888802339,18.920031253291754,16.022947634731636,50.44984863586986
2013-07-23,2013-08-01,8068,8156,8060,8134,115,0.0143,115683,-8.0,8126.0,0,40.00458134583774,48.19845068101142,-8.19386933517368,8322.744981120166,7977.8,7632.8550188798345,689.8899622403314,0.01957933264809845,0.005882280197697371,0.005463670300872681,906990.0,39.14486783009215,22.964998568651833,16.17986926144032,55.677692574165896
2013-07-24,2013-08-01,8142,8148,8100,8126,-8,-0.001,77552,-19.0,8107.0,0,48.83563074352551,43.35031126202606,5.485319481499452,8314.915236315155,8002.25,7689.584763684845,625.3304726303104,0.015464400637320753,0.004679685713049383,0.007363697220638142,829438.0,41.35267406299408,26.642533667520283,14.7101403954738,55.22945830141769
2013-07-25,2013-08-01,8100,8158,8056,8107,-17,-0.0021,101640,-7.0,8100.0,0,55.70175438596494,48.180655491776065,7.521098894188874,8307.727168437286,8021.95,7736.172831562713,571.554336874573,0.010602160322614849,0.002311981504147944,0.0047342851477295035,727798.0,41.09551172053216,29.533129278122658,11.5623824424095,54.115186126875194
2013-07-26,2013-08-01,8109,8183,8088,8100,-8,-0.001,107217,-65.0,8035.0,0,51.97368421052635,52.170356446672265,-0.19667223614591478,8308.723552892647,8035.55,7762.376447107354,546.347105785293,0.008020608421327702,0.0014878069889836868,0.0002716787275556099,620581.0,39.86730177449499,31.599963777397125,8.267337997097865,53.68544572313855
2013-07-29,2013-08-01,8082,8108,8017,8035,-64,-0.0079,99697,95.0,8130.0,1,41.99561403508775,49.890350877193015,-7.894736842105267,8308.487586532596,8042.15,7775.8124134674035,532.6751730651922,-0.000889065734909152,-0.006333823192964107,-0.008073675374055558,520884.0,33.265515614215474,31.933074144760795,1.332441469454679,49.735816875149794
